Place Name,County,Latitude,Longitude
Killorglin,Kerry,52.10635079999999,-9.7843403
Cahersiveen,Kerry,51.9477992,-10.2209047
Tarbert,Kerry,52.5724738,-9.3745372
Waterville,Kerry,51.829465,-10.1745436
Sneem,Kerry,51.8373942,-9.8983245
Ballybunion,Kerry,52.51108,-9.67097
Moyvane,Kerry,52.50166,-9.3705609
Abbeyfeale,Kerry,52.3851792,-9.3007966
Lixnaw,Kerry,52.4064615,-9.6181275
Portmagee,Kerry,51.8854295,-10.36194
Glenbeigh,Kerry,52.0561861,-9.9403477
Ballinskelligs,Kerry,51.8244027,-10.2730136
Annascaul,Kerry,52.1510786,-10.0567611
Ballyheigue,Kerry,52.3904645,-9.8277419
Aghadoe,Kerry,52.07382,-9.57748
Ballydavid,Kerry,52.2236449,-10.3604937
Farranfore,Kerry,52.1719869,-9.5505078
Castlebar,Mayo,53.8517129,-9.2934089
Westport,Mayo,53.8011456,-9.5222281
Ballina,Mayo,54.1149482,-9.1550693
Claremorris,Mayo,53.72387639999999,-9.0017356
Mulranny,Mayo,53.9061783,-9.7813773
Foxford,Mayo,53.98077259999999,-9.113245
Ballinrobe,Mayo,53.6237338,-9.2211143
Belmullet,Mayo,54.2238996,-9.9876028
Achill Island,Mayo,53.9619505,-10.015335
Newport,Mayo,53.8852758,-9.5463685
Crossmolina,Mayo,54.100342,-9.3158456
Ballyhaunis,Mayo,53.7628378,-8.7645957
Kiltimagh,Mayo,53.8494839,-8.9994739
Louisburgh,Mayo,53.7631376,-9.8090849
Ballintubber,Mayo,53.7450832,-9.2983712
Ballycroy,Mayo,54.0238928,-9.8260445
Bangor Erris,Mayo,54.14464839999999,-9.7428784
Ballycastle,Mayo,54.2796698,-9.3724643
Islandeady,Mayo,53.8261889,-9.4015677
Ballyfarnon,Mayo,54.0723661,-8.2047173
Belderrig,Mayo,54.29658209999999,-9.5473622
Lecanvey,Mayo,53.7788324,-9.6891973
Ballyglass,Mayo,53.7401727,-9.1723961
Letterkenny,Donegal,54.9533201,-7.7287972
Donegal Town,Donegal,54.653827,-8.1096142
Buncrana,Donegal,55.1365797,-7.4560128
Mountcharles,Donegal,54.6474421,-8.1947189
Lifford,Donegal,54.8319619,-7.4835927
Stranorlar,Donegal,54.80240250000001,-7.7665843
Dungloe,Donegal,54.95028869999999,-8.3573628
Glenties,Donegal,54.7955086,-8.2812625
Gweedore,Donegal,55.0498014,-8.228704
Ardara,Donegal,54.7671456,-8.4092864
Carrick,Donegal,54.6577244,-8.6327484
Falcarragh,Donegal,55.13640840000001,-8.1044862
Ballyshannon,Donegal,54.5029882,-8.1920416
Burt,Donegal,55.04004,-7.42848
Drumkeen,Donegal,54.8660308,-7.7513945
Pettigo,Donegal,54.54943,-7.8320339
St Johnston,Donegal,54.93468,-7.46136
Tory Island,Donegal,55.2655024,-8.2303706
Malin Head,Donegal,55.3820014,-7.3733878
Rathmullan,Donegal,55.0970707,-7.5363061
Carndonagh,Donegal,55.2506229,-7.2668905
Dunfanaghy,Donegal,55.1834711,-7.9694369
Bundoran,Donegal,54.4791416,-8.2779341
Termon,Donegal,55.0487909,-7.8172692
Laghey,Donegal,54.61819999999999,-8.0876
Wexford Town,Wexford,52.336916,-6.4633381
Enniscorthy,Wexford,52.5031703,-6.5731293
New Ross,Wexford,52.3958337,-6.9454567
Gorey,Wexford,52.675307,-6.295941
Courtown,Wexford,52.6448624,-6.2286169
Fethard-on-Sea,Wexford,52.1923021,-6.8402183
Rosslare,Wexford,52.2720275,-6.3892254
Taghmon,Wexford,52.3229838,-6.6546699
Kilmuckridge,Wexford,52.51308849999999,-6.2839346
Oulart,Wexford,52.5039145,-6.3908617
Campile,Wexford,52.2881507,-6.9413872
Wellingtonbridge,Wexford,52.2662249,-6.7481894
Ballinure,Wexford,52.52029,-6.27713
Ballinascorney,Wexford,53.24306,-6.394
Ballycullane,Wexford,52.2803179,-6.8397818
Ballycarbery,Wexford,52.336916,-6.4633381
Gorey Village,Wexford,52.675307,-6.295941
Clonard,Wexford,52.3292675,-6.5028705
Dunbrody,Wexford,52.2823824,-6.9473688
Johnstown,Wexford,52.2930419,-6.5031852
Seaview,Wexford,52.18763629999999,-6.5384228
Kilmore,Wexford,52.2056319,-6.5473792
Taylors Cross,Wexford,52.336916,-6.4633381
Ballynamintra,Wexford,52.336916,-6.4633381
Morgans Bridge,Wexford,52.336916,-6.4633381
Wicklow Town,Wicklow,52.9807857,-6.046806
Greystones,Wicklow,53.1491175,-6.0793414
Bray,Wicklow,53.2010587,-6.1110501
Arklow,Wicklow,52.7973267,-6.1621885
Avoca,Wicklow,52.8586664,-6.2140891
Kilcoole,Wicklow,53.1062723,-6.0645861
